"","BAM","PA_CF_ATM","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_ATM_pred"
"81",20,31.68122222,58.93333333,80.44444444,7.823483333,8,20.8091802554182
"82",17.8,21.75266667,49.46666667,85.24444444,4.209033333,9,16.2251679823752
"83",17.8,17.27866667,44.11111111,87.95555556,3.179766667,10,13.7025835423276
"84",14.4,16.34611111,40.8,89,4.2108,11,15.3346135229013
"85",17.2,15.83633334,36.02222222,91.66666667,2.471083333,12,13.761021816872
"86",14.3,15.95966667,34.11111111,92.68888889,2.65535,13,14.3900676654256
"87",21.2,16.41522222,30,94.95555556,3.25715,14,16.1145922599163
"88",16.4,13.59904762,29.66666667,94.95238095,3.751616667,15,15.548037975455
"89",20,15.55166667,31.11111111,94.26666667,4.566566667,16,17.081638564503
"90",21.7,19.70466667,34.22222222,91.82222222,6.100066667,17,19.7992281956537
"91",27.8,21.00333334,37.53333333,90.26666667,7.0111,18,20.0280395302075
"92",8.2,12.38582126,49.2826087,83.52173913,2.292966667,19,9.99286535041626
"93",9.9,14.03010606,51.84444444,80.77777778,5.843535714,20,13.8085063286458
"94",10.3,10.62988889,57.15555556,80,3.433966667,21,8.85840618553761
"95",9.8,10.30055556,57.04444444,80,3.1022,22,8.30758186601233
"96",14.4,13.02844445,57.24444444,79.97777778,6.4707,23,12.4863149917377
"97",13.4,14.83,58.08888889,79.17777778,5.507183333,0,12.552057889439
"98",17.7,18.03055556,60.06666667,78.86666667,7.418066667,1,14.5294111168447
"99",14.1,16.70544445,61.8,78,5.518433333,2,12.8062708800145
"100",11.3,15.55433333,63.84444444,77.26666667,5.6335,3,12.031819723231
"101",12.7,18.25955556,64.93333333,76.97777778,7.223483333,4,13.7840711770197
"102",14.4,22.39488889,65.91111111,76.44444444,9.779016667,5,16.9312170557246
"103",21.7,28.67777778,64.48888889,77,10.94042857,6,20.5212694742427
"104",25.4,33.69322222,62.57777778,77.35555556,11.08401667,7,23.1969668675543
"105",18.1,24.33877778,56.73333333,80.8,6.273866667,8,17.7008296711746
"106",21.3,20.84435354,48.5,85.09090909,5.9109,9,17.5587511187492
"107",15.2,18.50733333,45.53333333,86.24444444,4.84685,10,16.3102582514632
"108",17.5,11.97733334,39.15555556,90.4,3.018933333,11,12.0017930954139
"109",17.2,13.69333333,34.97777778,93.08888889,4.730366667,12,15.4172420205048
"110",18.7,18.96966667,34.11111111,93.86666667,7.045316667,13,19.1994897154974
"111",16.7,14.11077778,32.75555556,94.51111111,4.831833333,14,16.0554600131019
"112",11.8,10.07115217,31.52173913,96,3.464483333,15,12.7943655735972
"113",14.1,9.530666667,30.17777778,96.8,3.1681,16,12.5242203699262
"114",12.3,12.25155556,33.66666667,94.37777778,2.2255,17,11.8229074130786
"115",12.2,13.66766667,38.35555556,91,2.4496,18,12.1355865201335
"116",21.2,21.257,43.11111111,88.55555556,4.324483333,19,17.0724069283941
"117",10.5,13.86466667,54.8,82.31111111,5.9792,20,13.3161673801809
"118",13.6,16.67844445,61.37777778,80.37777778,8.716833333,21,14.7875993765028
"119",16.2,17.53122223,61.68888889,80,10.16885,22,16.2287248666966
"120",19.7,24.52866667,63.75555556,79.55555556,15.60998333,23,21.4348595993477
"121",17.3,21.09761364,64.75,79,10.59778333,0,17.834610562199
"122",16.6,19.15044445,64.62222222,78.37777778,8.467625,1,15.1281414008202
"123",15.5,17.113,64.77777778,77.24444444,6.893283333,2,13.2271947459485
"124",17.4,22.86611111,65.08888889,77.17777778,9.5423,3,17.1574350702953
"125",19.2,21.17922223,64.66666667,77.06666667,9.875416667,4,16.7059272963759
"126",21.1,25.50945652,64.80434783,76.97826087,12.76798333,5,20.4019622776111
"127",25.7,31.18211111,64.91111111,76.95555556,13.47558333,6,22.8367693772174
"128",30.8,41.35566667,63.2,77.53333333,13.58792857,7,31.2306470167563
"129",26.4,35.14011111,57.08888889,80.71111111,10.26253333,8,24.7949721594151
"130",14.3,22.57077778,51.68888889,83.53333333,4.707966667,9,16.9214561751652
"131",14.4,17.275,44.28888889,88.11111111,2.45685,10,12.6789383214472
"132",14.2,16.09911111,38.44444444,91.6,3.044983333,11,13.7932567226803
"133",18.2,18.74311112,34.71111111,94.02222222,4.6856,12,17.5400115687432
"134",18.3,16.82922222,32.8,95.68888889,4.35195,13,16.5395990502779
"135",18.8,14.82755556,32.06666667,95.88888889,2.834,14,13.9464609390521
"136",20.6,16.30866107,33.2173913,94.7826087,3.166316667,15,14.9064703039757
"137",19,18.513,33.71111111,93.97777778,3.754016667,16,16.7303801303189
"138",25.3,19.34622222,35.55555556,92.66666667,4.651916667,17,17.8988895797127
"139",24.3,22.16966667,43.97777778,87.51111111,9.52035,18,20.5106444242213
"140",16.9,19.86749472,51.06818182,83.40909091,5.674316667,19,16.6621073255074
"141",31.8,26.09644445,55.86666667,82.95555556,9.109633333,20,19.8213699638755
"142",29.1,28.42233334,64.15555556,79.97777778,15.82628571,21,23.0278952598453
"143",25.5,28.79666667,65.26666667,79.88888889,17.04535,22,23.5069613745748
"144",26.8,26.19144445,63.93333333,79.55555556,12.35368333,23,21.2380576591975
"145",25.1,29.253,63.95555556,79.02222222,14.80835714,0,22.8994812455939
"146",18.7,20.44744445,63.48888889,78.42222222,9.071983333,1,16.1721444911343
"147",13.4,15.52877778,61.97777778,78.95555556,4.2014,2,11.3190318640166
"148",12.5,16.06266667,60.82222222,79,4.64425,3,12.128426424904
"149",12.5,13.52866667,60.68888889,78.35555556,1.778733333,4,7.30325042452801
"150",13.4,15.67411112,61.88888889,78,1.85415,5,8.20527786633182
"151",21.6,29.59666667,60.8,78,5.028035714,6,17.8533485300813
"152",22.1,30.00766667,59.73333333,78.66666667,4.594983333,7,17.8858693308413
"153",17.9,24.55655556,56.24444444,80.62222222,3.402616667,8,15.2673320790157
"154",16.8,16.78811112,50.06666667,83.68888889,1.686733333,9,11.0339948581414
"155",18.6,13.87544445,47.08888889,85.35555556,1.159616667,10,9.51285790848965
"156",19.8,11.401,42.82222222,88.26666667,1.028690909,11,8.70842353128673
"157",15.8,12.66788889,40.6,89.91111111,1.15255,12,9.66696804402779
"158",14.8,11.47555556,37.91111111,91.95555556,1.124883333,13,9.41238181206582
"159",20.1,12.16666667,33.26666667,95.28888889,0.877166667,14,10.0689117300436
"160",17.4,9.367666667,31.62222222,95.97777778,1.031983333,15,9.45888221321331
"161",13.8,11.04533333,35.06666667,93.77777778,1.432983333,16,10.0205932163897
"162",20.9,14.24811111,35.46666667,93.26666667,2.896983333,17,13.2628493453934
"163",25,21.634,38.57777778,90.86666667,3.919316667,18,17.6119913638115
"164",17.8,21.67588889,54.11111111,86.02222222,2.32015,19,12.5103819828941
"165",38.4,46.284,59.33333333,85,9.14475,20,35.0108394799042
"166",46.2,53.82022222,61.26666667,83.75555556,9.021053571,21,43.5118005244918
"167",20.6,27.78533334,67.11111111,79.84444444,9.55855,22,19.7061934132478
"168",22.9,28.18355556,69.88888889,78.71111111,10.47468333,23,20.2153333398044
"169",23.8,25.74011111,69.73333333,79,11.37083333,0,20.1045370676429
"170",20.5,21.03755556,70.04444444,78,9.552767857,1,16.4158204263116
"171",23,18.916,69.55555556,78,8.439366667,2,14.6934794358207
"172",14.6,14.79033334,68.57777778,78,3.97075,3,10.1551751988168
"173",14.1,13.086,67.26666667,78,2.19595,4,7.20913387323664
"174",16.3,15.69888889,66.8,78,2.609183333,5,8.93720158546613
"175",19.5,28.32433333,66.73333333,77.97777778,4.324433333,6,16.3818823719052
"176",20.6,30.17611111,64.68888889,78.8,4.163416667,7,17.251271328024
"177",16.6,16.25,58.93333333,80.93333333,1.744516667,8,9.27287337992458
"178",13.3,14.01066667,54.62222222,82.6,1.206818182,9,8.26109723102353
"179",14.8,14.12666667,49.35555556,85.68888889,1.156716667,10,8.85573946050499
"180",19.9,12.62788889,43.95555556,88.68888889,1.124016667,11,8.8463239552612
"181",15.7,12.30055556,41.95555556,90.13333333,0.990533333,12,8.77446681151404
"182",16.6,12.58577778,40.4,91.28888889,1.077383333,13,9.19053023974544
"183",13.9,12.42711111,39.17777778,92.64444444,0.971433333,14,8.99975825905189
"184",20,12.84477273,36.13636364,94.81818182,1.0287,15,9.68068820581118
"185",20.4,20.64066667,37.91111111,93.86666667,2.142633333,16,14.2692167381957
"186",20.8,19.75211111,42.53333333,89.88888889,2.359516667,18,13.7475903340874
"187",25.4,30.06554348,43.95652174,88.39130435,4.176466667,19,20.1221540407115
"188",27,31.26088889,46,87.44444444,4.891,20,21.0318013271013
"189",36.1,33.32477778,49,86.35555556,10.95226786,21,25.1864804012903
"190",22.6,24.46197675,57.65116279,81.95348837,10.96515,22,20.5244121159284
"191",21.7,19.78255556,62.35555556,79.84444444,8.6309,23,16.0101013102032
"192",14.4,19.501,67.66666667,78.15555556,8.2716,0,15.0000101922452
"193",15.2,14.48811111,69.13333333,78,6.2898,1,11.8464135847186
"194",13,16.70044445,70.42222222,77.62222222,9.172214286,2,13.9901540046618
"195",10,12.278,69.53333333,77,5.49525,3,10.150396802427
"196",13.7,15.93022223,69.28888889,77,10.25738333,4,14.4061503138247
"197",17.1,18.22766667,68.28888889,77,13.66486667,5,17.4380747037621
"198",21.5,24.91955556,67.11111111,77.06666667,16.27667857,6,20.9343238780827
"199",20.5,29.74011111,68.26666667,77,11.36345,7,21.1111200941152
"200",19.8,30.57655556,66.86666667,77.75555556,11.57831667,8,21.8820135959641
"201",16.3,27.12733334,60.95555556,80.97777778,4.508016667,9,17.1267356196948
"202",13.8,18.61366667,55.13333333,83.77777778,2.581116667,10,11.859899614893
"203",9.9,19.52377778,52.53333333,85.24444444,2.444066667,11,12.2669863198624
"204",13.3,19.07844445,46.4,88.77777778,2.599067797,12,12.7979174761902
"205",15.8,16.435,42.44444444,90.51111111,4.596561404,13,14.7673513742019
"206",10.6,13.87588889,39,92.66666667,4.2908,14,13.7824833375506
"207",13.1,13.626,36.62222222,93.82222222,5.336033333,15,15.1177872539845
"208",18.2,15.73911111,35.82222222,93.8,7.585583333,16,17.2919385339874
"209",33.9,28.82888889,39.88888889,91.17777778,14.18139286,17,25.9668755820072
"210",28.5,27.1583721,55.23255814,85.41860465,13.04266667,18,22.4930056573239
"211",10.6,17.75613637,69.81818182,78.52272727,9.029416667,19,14.6691346331361
"212",13.6,18.37733333,71.08888889,77.02222222,11.15323333,20,16.2082770192725
"213",15.8,17.74133333,70.46666667,77,11.73341071,21,16.3356093653833
"214",13.3,15.87566667,68.4,77,12.59095,22,15.998400271225
"215",18.4,15.807,66.84444444,77,13.15633333,23,16.2300122038311
"216",13.9,16.11671717,67.08888889,77,11.17015,0,15.3327477063497
"217",12.6,14.34911111,67.22222222,77,8.251017857,1,12.2788845466032
"218",14.4,21.56293479,67.84782609,76.34782609,6.44095,2,14.759564982759
"219",12,14.53811111,67.86666667,76,6.479283333,3,11.4503620064422
"220",7.8,13.35933334,67.68888889,76,7.398733333,4,11.2040270928149
"221",12.3,19.91655556,67.88888889,75.22222222,9.922883333,5,15.600540691435
"222",17.2,23.17988889,68.22222222,75,8.745214286,6,16.0381944305146
"223",21.5,34.02533334,65.62222222,76.35555556,12.0202,7,23.6292922196674
"224",21.1,26.24977778,61.57777778,78,9.36935,8,18.7198120190898
"225",10.4,16.91622222,59.44444444,79.31111111,6.5578,9,13.9143927304684
"226",21.5,15.45055556,52.97777778,82.84444444,7.365483333,10,14.8481054350231
"227",16.3,16.64955556,50.75555556,84.51111111,9.006589286,11,16.4797897887045
"228",13.7,15.34611111,45.4,87.93333333,8.036633333,12,15.8193105189595
"229",14.4,16.13322223,45.06666667,88.28888889,12.2103,13,19.1700036372432
"230",18.2,13.64466667,42.6,89.97777778,12.05146667,14,18.2401872084299
"231",13.3,11.28211111,44.91111111,87.11111111,9.290232143,15,15.1961728576393
"232",15.6,12.52633334,47.06666667,86.33333333,9.131983333,16,15.1915583633891
"233",11.2,10.022,48.28888889,85.66666667,7.26075,17,12.9930842393935
"234",16,13.10455556,50.46666667,84.13333333,8.615716667,18,14.7465817601648
"235",20,17.81888889,55.06666667,81.91111111,9.3507,19,16.6537463276072
"236",13,16.27255556,57.15555556,80.22222222,7.682125,20,14.427129607992
"237",13,11.48688889,59.48888889,78.55555556,6.414216667,21,11.175385691304
"238",10.4,9.776333334,62.86666667,77.73333333,5.511083333,22,9.54936663583921
"239",14,12.25611112,66.42222222,77.08888889,7.604933333,23,11.1141954888219
"240",9.7,10.81344445,66.84444444,76.97777778,5.254083333,0,9.44664724428578
"241",11.2,10.62033333,66.4,76.97777778,5.00135,1,9.17631431105913
"242",7.8,9.723320707,66.13636364,76.09090909,4.100666667,2,7.63841146023091
"243",12.6,13.09239131,66.86956522,76.04347826,5.977366667,3,10.6456326770245
"244",13.3,15.05928572,67,76,6.831783333,4,11.8369032273339
"245",13,16.46511111,67.26666667,75.17777778,8.538875,5,12.9715329829986
"246",17.1,24.24011111,67.57777778,75.08888889,10.42695,6,17.8469529628515
"247",26.2,33.68566667,65.68888889,76,13.20356667,7,23.8170520611896
"248",14.5,23.50077778,62.66666667,77.15555556,8.797533333,8,16.9552039685029
"249",16.9,19.38744445,55.06666667,80.84444444,6.131642857,9,15.7941959162503
"250",15.3,19.82611111,54.22222222,81.31111111,6.492716667,10,16.3425083908722
"251",15.9,21.103,50.6,83.53333333,8.163533333,11,18.2590269731046
"252",18.1,20.09522222,46.57777778,85.97777778,10.14695,12,19.7870833812507
"253",19.7,16.853,45.95555556,86.68888889,7.700066667,13,16.6164486219313
"254",18,16.98011112,48.91111111,84.82222222,10.45092857,14,18.2401384621268
"255",14.6,11.17777778,48.84444444,84.26666667,8.939383333,15,14.5198923078887
"256",17.9,13.77144445,48.08888889,84.77777778,10.07556667,16,16.6807042254191
"257",15.7,14.41715909,49.54545455,83.38636364,9.597433333,17,16.4352925259537
"258",17.3,20.58457265,56.25,80.55555556,9.233982143,18,17.4949483605187
"259",17.7,18.80637561,56,79.21621622,9.0004,19,16.2367609966941
"260",16.2,20.70877632,64.94736842,77.15789474,9.608083333,20,16.2874834284156
"261",20.3,18.75069491,72,75.30232558,9.329383333,21,14.399957440796
"262",9.2,15.37917283,74.15909091,74.11363636,9.705033333,22,12.7754342267584
"263",7.6,14.52431818,74.06818182,73.97727273,10.17201786,23,12.7585045381759
"264",10.3,14.81431722,74.78378378,73.16216216,7.988033333,0,11.1760076224481
"265",13.6,17.22813044,74.65217391,72.56521739,6.236366667,1,11.6156910984346
"266",6.4,20.28208276,60.48,79.48,8.128233333,10,15.9838298313889
"267",24,20.7164795,55.45454545,81.48484848,9.8343,11,18.2918951435167
"268",20.9,20.20914502,51.23809524,83.5,9.245689655,12,18.3886748095606
"269",27.4,19.5145303,46.54545455,85.84090909,9.774,13,19.2566146209921
"270",28.7,20.88322223,46.11111111,85.73333333,10.4164,14,20.5960760393105
"271",20.4,19.326,47.95555556,84.26666667,9.585716667,15,19.0130670395379
"272",19.5,15.17,49.33333333,84.4,9.44185,16,16.5259198810777
"273",25.6,20.66933334,51.33333333,82.84444444,13.33510714,17,21.3156096706802
"274",30,27.74811111,52.82222222,81.97777778,13.9482,18,23.9338956821938
"275",23,26.22722222,59.91111111,79.53333333,13.45356667,19,21.8576768475152
"276",23.4,28.86555556,64.6,77.71111111,10.90955357,20,20.7645093957759
"277",24.6,29.42822222,65.44444444,77,10.9855,21,20.8139809484269
"278",22.3,26.44577778,63.88888889,76.97777778,11.47201667,22,20.1010484192593
"279",15.9,16.78344445,62.62222222,76.08888889,9.915616667,23,14.5507229049845
"280",16.6,17.16788889,64.28888889,75.51111111,8.731196429,0,13.6097698407669
"281",15.5,14.95244445,65.91111111,75.04444444,7.946916667,1,11.9898401270693
"282",16.4,22.85533334,67.4,74.71111111,8.029933333,2,15.4883558139506
"283",15,21.85088889,68.06666667,74.24444444,7.453366667,3,14.7250703606382
"284",18.8,29.34022223,69.15555556,74,9.09395,4,18.3856124875642
"285",20.1,27.352,70,74,9.978875,5,18.3058727835773
"286",22.4,32.95622222,69.82222222,74.06666667,11.63376667,6,22.0871661553388
"287",28.8,39.11211111,67.64444444,75.24444444,11.6874,7,27.2799032114532
"288",23.8,34.30021739,62.82608696,77.32608696,8.861583333,8,21.758163557721
"289",19.7,28.13533334,57.33333333,80.22222222,7.778357143,9,19.4271309950632
"290",18.4,23.22355556,50.51111111,84.17777778,7.214433333,10,18.6975684067514
"291",16.9,18.46811111,44.37777778,87.97777778,8.464583333,11,17.8225259936888
"292",21.3,19.42322223,40.02222222,91.06666667,10.11201667,12,20.0374918246581
"293",18.1,17.54911111,37.82222222,92.66666667,8.3193,13,18.1119589480215
"294",19.1,17.50088889,35.22222222,94.86666667,9.048607143,14,18.8139294502889
"295",18.4,16.21666667,33.22222222,96.13333333,7.394066667,15,17.7919004204199
"296",24.8,19.91577778,34.84444444,94.22222222,9.822983333,16,20.8493065003339
"297",25.4,21.58422223,38.82222222,91.04444444,9.632,17,21.0167221465442
"298",25.3,24.90711112,46.28888889,86.91111111,9.956303571,18,21.4142137403246
"299",26.3,26.95377778,52.8,84.06666667,15.3103,19,23.7084037421538
"300",24.9,26.17766667,54.35555556,83.62222222,13.26458333,20,22.7783553297688
"301",24.2,24.83344445,56,82.64444444,11.83083929,21,21.4871538972631
"302",24.2,28.96277778,58,81.46666667,13.82916667,22,23.4998106481152
"303",15.2,15.61377778,58.15555556,80.31111111,6.3208,23,13.5837034238812
"304",10.6,12.964,59.33333333,80,3.6238,0,9.89628049002394
"305",14.4,16.36288889,61.95555556,80,1.954733333,1,9.18651099950703
"306",8.6,12.95788889,63.02222222,79.04444444,3.158833333,2,8.82724907450486
"307",16.5,17.63355556,64.37777778,78.31111111,8.926916667,3,14.7012600803229
"308",17.8,19.72233334,64.95555556,77.91111111,10.48655357,4,16.8047241314547
"309",18.5,19.715,65.31111111,77.04444444,10.46361667,5,16.523203604354
"310",21.7,24.60522223,64.8,77,12.7854,6,20.071914637559
"311",20.9,26.75977778,64.13333333,77.42222222,13.56230357,7,21.2535530401479
"312",12.6,21.63888889,60.2,79.55555556,8.646033333,8,16.9053974200065
"313",14.9,17.57211112,55.53333333,82.08888889,7.345516667,9,15.3801276770746
"314",14.5,15.03255556,51.2,84.44444444,6.909533333,10,14.6699182101552
"315",12.7,14.37033334,46.91111111,87.2,7.2179,11,14.8276553075729
"316",15.7,14.93755556,42,90.22222222,8.162964286,12,16.1162469897627
"317",17.9,16.42147727,42.06818182,90.13636364,8.608133333,13,17.0539852930512
"318",17.3,14.73844445,42.42222222,89.84444444,9.012383333,14,16.5058386381793
"319",18.9,12.63688889,38.95555556,91.97777778,7.15205,15,15.2065402624267
"320",22.8,15.77711111,38.17777778,92.15555556,8.605383333,16,17.4775624091733
"321",19,15.13064785,45.97619048,87.33333333,7.674571429,17,15.5818690753394
"322",28.1,26.70522222,53.06666667,84.2,12.41616667,18,22.81150789508
"323",10.6,17.08222222,67.11111111,79.42222222,7.555116667,19,13.9430370316378
"324",20,22.41044445,70.51111111,78,10.5434,20,17.8257267402042
"325",16.2,19.40322222,69.55555556,78.13333333,8.651133333,21,15.0822367799263
"326",22.9,20.29388889,69.66666667,77.88888889,12.11551786,22,18.0235240466889
"327",22.4,26.02288889,70.88888889,77.48888889,14.51456667,23,20.904121408157
"328",22.3,26.92133333,69.44444444,77.35555556,13.93526667,0,21.1596032353658
"329",20.9,27.16059091,67.88636364,77,14.36207143,1,21.2969481998661
"330",21.1,26.5789757,68.40625,76.34375,10.93171667,2,19.4023657456423
"331",21.8,28.63134146,69.51219512,75.85365854,8.823766667,3,18.2908841618544
"332",20.4,31.86653534,70.30769231,75.20512821,11.16955,4,21.3920661484472
"333",26,36.13921053,70.97368421,75,12.07880357,5,24.6201546898383
"334",35.8,47.67388742,70.46511628,75,16.48653333,6,38.3976770951177
"335",38.9,48.47489611,69.57575758,75.96969697,15.955,7,39.4291961500416
"336",26.7,40.46630031,68.35294118,76.29411765,10.547,8,28.0583111270068
"337",27.9,37.11179546,66.6,77.6,11.60291667,9,25.9872541600762
"338",22.8,31.70622223,63.93333333,78.82222222,8.857966667,10,20.6680104984517
"339",13.9,20.72733334,56.57777778,80.6,7.7445,11,16.6637551330707
"340",13.2,12.52933333,47.35555556,83.6,9.004483333,12,15.7297507545832
"341",11.9,8.909589286,43.925,84.725,7.571633333,13,14.2730807339614
"342",10.2,6.37275,41.90625,86,4.76625,14,12.1099695923373
"343",13.7,8.784722222,42.125,85.35,6.19435,15,14.2117949640122
"344",11.9,8.958857143,45.71428571,83.57142857,7.323216667,16,13.8627648253031
"345",18.3,15.58640476,46.28571429,82.37142857,13.01316071,17,20.3204156523758
"346",21,17.02494643,50.625,80.625,11.84515,18,19.0543686557444
"347",14.5,17.73135773,54.55882353,78.91176471,10.54013333,19,17.1532463906162
"348",23.8,23.80470966,57.23529412,78.47058824,14.67619643,20,21.1551852835907
"349",22.5,22.60033333,59.27777778,78.02777778,11.22876667,21,19.0108948426053
"350",20.5,23.57234015,60.56756757,77.45945946,12.22428333,22,19.7637939365417
"351",19.2,22.80002381,62.69047619,76.66666667,10.78383333,23,18.1436149574219
"352",14.5,16.33017073,63.42857143,76.05714286,8.207285714,0,13.0822656697927
"353",10.3,11.5499008,64.02777778,75.52777778,7.655883333,1,10.521180021257
"354",9.3,13.18570205,67.21621622,74.89189189,5.348966667,2,10.0485899437838
