"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"29",15.8,15.684,63.35555556,76.02222222,6.393,"4",12.0549936799991
"30",21.3,21.61355556,63.84444444,75.4,9.180785714,"5",15.6685167418621
"31",18.6,33.01366667,66.13333333,75.17777778,9.4076,"6",20.1354815900368
"32",26.7,45.19522222,64,77.02222222,12.24608333,"7",27.4922652406835
"33",26.9,40.26933334,58.71111111,80.06666667,10.30358333,"8",25.2516750246252
"34",20.6,25.36388889,49.08888889,85.08888889,7.40315,"9",19.4125280489931
"35",16.5,13.18811111,41.17777778,89.66666667,3.813133333,"10",13.1711273718763
"36",14.1,16.58577778,34.8,93,4.207866667,"11",16.168605142356
"37",16.6,15.94833333,31.71111111,94.93333333,4.469733333,"12",16.7272642305834
"38",13.5,11.64188889,28.02222222,97.88888889,2.822964286,"13",13.8571829035082
"39",19.2,13.93411111,29.31111111,97.6,6.2294,"14",17.5899016538884
"40",19,18.194,30.42222222,95.95555556,8.349316667,"15",19.9739651947608
"41",17.1,15.02077778,28.93333333,96.66666667,4.6302,"16",17.1606279842608
"42",21.1,15.22811112,30.26666667,95.31111111,3.933766667,"17",16.2493717814914
