"","BAM","PA_CF_1","PA_CF_ATM","PA_RH","PA_Temp","hour","Predicted_Corrected_ATM_pred"
"1",21.1,19.69733333,19.69166667,56.75555556,80.6,23,15.5769121586646
"2",17.3,16.56894444,16.55883333,60.17777778,79.76666667,0,13.4382370307485
"3",15.5,17.05072222,17.05072222,62.44444445,79,1,13.3966678743434
"4",14.8,15.29288889,15.29288889,62.94444445,78.36666667,2,12.1526398470453
"5",14,16.84122222,16.84122222,62.82222222,78.01111111,3,12.899797197447
"6",17.7,17.0915,17.091,62.5,78.02222222,4,13.0325581100292
"7",25.1,21.01116667,20.92888889,62.48888889,78.02222223,5,14.8002385715008
"8",32.9,45.5975,38.21005555,62.58888889,78.24444445,6,23.9016771333495
"9",25.8,37.58061111,33.99916667,60.92222222,78.95555556,7,21.0475254713333
"10",24.3,29.07811111,27.91866667,56.52222222,80.92222222,8,18.8902993022431
"11",20.1,16.56072222,16.56072222,50.78888889,83.45555556,9,15.1848278749586
"12",25.6,17.28655556,17.28138889,45.1,86.44444445,10,16.04053619714
"13",20.3,16.21894444,16.21761111,39.21111111,89.98888889,11,16.3773764713887
"14",23.5,17.80227778,17.79772222,35.3,92.75555556,12,17.7201339787005
"15",21.2,13.79888889,13.79872222,33.71111112,93.61111111,13,15.4936228814656
"16",26.7,15.48161111,15.48161111,33.53333333,93.31111111,14,16.7641156329677
"17",25.5,13.90967442,13.82395607,38.75503876,91.01524548,15,14.8272998535211
"18",9.4,16.70205556,16.65433333,54.68888889,83.32222222,16,14.3559270593286
"19",20.4,24.28827778,23.63938889,55.23333334,83.63333334,17,17.2030590058358
"20",17.4,26.50833334,25.55022222,58.78888889,81.86666667,18,17.669839506979
"21",19.7,24.61466667,24.52205556,62.04444445,80,19,16.8699650297799
"22",21.2,20.45483333,20.44683333,62.63333334,79.41111112,20,15.1345622494696
"23",15,22.35777778,22.29888889,63.22222223,79.13333334,21,15.7895061985967
"24",16.2,17.60122222,17.60111111,62.96666667,79,22,13.6957912386147
"25",15.4,14.03633333,14.03633333,61.53333334,78.34444444,23,11.3273134613089
"26",14.6,12.442,12.442,61.94444445,78.01111111,0,10.0659429100477
"27",11.9,12.05261111,12.05261111,63.54444444,77.65555556,1,9.66278187092541
"28",10.4,10.81422222,10.81422222,64.41111112,77,2,8.48095612397598
"29",10.6,12.67805556,12.67805556,64.48888889,77.22222222,3,9.9904505164197
"30",11,11.56566667,11.56566667,64.43333333,77.24444445,4,9.1709128952423
"31",11.9,15.36416667,15.36416667,65.4,76.75555556,5,11.6597206090375
"32",14.8,22.68038889,22.66066667,65.5,76.63333334,6,15.0427323734976
"33",15.7,24.54644445,24.46061111,64.05555556,77.35555556,7,15.9205036469427
"34",17.7,24.71994445,24.65566667,60.52222222,79.3,8,16.748534329412
"35",23.6,20.14844445,20.12305556,55.94444445,81.5,9,16.0005993914683
"36",18.7,20.28227778,20.27516667,49.57777778,85.01111111,10,16.7499510462358
"37",24.2,18.009,18.00827778,43.95555556,87.91111111,11,16.3137435830237
"38",25,17.76483333,17.76433333,41.75555556,88.45555556,12,16.7142830583336
"39",23.9,16.17480808,16.17480808,37.95429293,90.46565657,13,16.6490061587618
"40",22.9,15.79017046,15.79017046,36.125,91.27272728,14,16.8166711288558
"41",25,18.63644444,18.6345,36.74444445,90.92222222,15,18.2085371972619
"42",26.6,20.93788889,20.68233333,44.28888889,88.32222222,16,17.3261518713242
"43",16.5,16.22427778,15.88438889,43.52222222,87.03333334,17,15.5241886588662
"44",21.4,19.18722222,19.16672222,46.84444445,85.41111111,18,16.8525673876801
"45",20.7,23.55655556,23.51116667,53.1,83.56666667,19,17.6366785378773
